STCOFIPS,AVLN_AFREQ,CFLD_AFREQ,CWAV_AFREQ,DRGT_AFREQ,ERQK_AFREQ,HAIL_AFREQ,HWAV_AFREQ,HRCN_AFREQ,ISTM_AFREQ,LNDS_AFREQ,LTNG_AFREQ,RFLD_AFREQ,SWND_AFREQ,TRND_AFREQ,TSUN_AFREQ,VLCN_AFREQ,WFIR_AFREQ,WNTW_AFREQ,AVLN_RISKR,CFLD_RISKR,CWAV_RISKR,DRGT_RISKR,ERQK_RISKR,HAIL_RISKR,HWAV_RISKR,HRCN_RISKR,ISTM_RISKR,LNDS_RISKR,LTNG_RISKR,RFLD_RISKR,SWND_RISKR,TRND_RISKR,TSUN_RISKR,VLCN_RISKR,WFIR_RISKR,WNTW_RISKR,AVLN_AFREQ_missing,ST,STATE,ST_ABBR,STCNTY,COUNTY,LOCATION,AREA_SQMI,E_TOTPOP,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
01021,NA,NA,0,30.414825052579403,6.16726645848e-4,3.271320919642396,0.371517027863777,0.075570782594485,0.387319352867675,0.01,82.86770731684331,0.458333333333333,1.41735618176943,0.628121022219103,NA,NA,1.20202739595e-4,0.68111455108359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01021,Chilton County,"Chilton County, Alabama",692.836450870514,45140,22.8,5.3,16,17.8,11.5,16.8,23.7,19.4,3.8,2.1,20.9,0.5,30.6,2.6,3.3,1,18.6,9.4,8.1,0.5,0,0,2.1,0.7
01023,NA,NA,0,12.304444020559146,4.85391849111e-4,2.924096735345081,0.557275541795665,0.147449734014279,0.600374330249745,0.01,95.9147812889244,1.375,2.219473302127152,0.764598092906924,NA,NA,8.5654537214e-5,0.43343653250774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01023,Choctaw County,"Choctaw County, Alabama",913.478753846466,12669,31.9,5.2,19.3,17.6,8.2,23.3,19.9,23.6,6.5,0.3,43.5,0.9,33.4,0.6,5.7,1.3,30.5,39.9,1.1,0.1,0.2,0,2.1,0
01025,NA,0.01,0,13.426594634824689,3.42649936033e-4,2.027407673058284,0.561889640025558,0.180922692765795,0.421480735973724,0.01,102.75046557312925,1.208333333333333,1.921767717959816,0.742289920435222,NA,NA,2.80011825753e-4,0.37267055242125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01025,Clarke County,"Clarke County, Alabama",1238.419880434466,23058,29.7,12.5,20,18.6,9.5,20.4,22,19.6,7.8,0.1,48.8,1.4,25.2,1.4,10.6,1.6,29,45.4,1.5,0.4,0.1,0,0.8,0.6
01027,NA,NA,0,48.02852555173458,5.28991194958e-4,4.275082324028991,0.371517027863777,0.062550956124594,0.379976040616037,0.01,81.16768714205357,0.708333333333333,1.676898856245927,0.473553690081708,NA,NA,3.89307748929e-4,0.990712074303406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01027,Clay County,"Clay County, Alabama",603.962148489452,14209,29.1,5.7,20.6,16.7,8.1,20.8,20.5,19.6,5.6,0,19.9,0.7,23.9,2.1,6.4,1.8,24.9,12.6,3.1,0.3,0,0,3.9,0.1
01029,NA,NA,0,37.19339819037804,5.88504590183e-4,5.025184027367983,0.309597523219814,0.048147423942839,0.298744564312599,0.01,69.5737529745255,0.375,2.115364433382889,0.430849934743817,NA,NA,4.99349600617e-4,1.114551083591331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01029,Cleburne County,"Cleburne County, Alabama",560.105218450104,15144,27.7,2.6,17.8,17.5,10.1,19.6,22.8,21.4,4.9,0.4,7.8,0.3,31.5,2.6,6.8,1.1,26,2.7,2.6,0.1,0.1,0,2,0.2
01031,NA,NA,0,28.9212232991466,2.17631467045e-4,1.530706802970702,0.123839009287926,0.157151485159713,0.173706372678212,0.01,81.15560414334158,0.625,1.762096831602447,0.584867354034676,NA,NA,2.0135199155e-5,0.247678018575852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01031,Coffee County,"Coffee County, Alabama",678.985821932656,53559,26.2,4.8,20.6,13.4,10.9,17.1,23.7,18.3,8.8,1.7,31.2,1.6,13.3,2,4,1.3,14.8,16.1,8.4,1.1,0.5,0,5,0.1
01033,NA,NA,0.123839009287926,14.307935663957686,0.001369468306131,4.345775365935638,0.804953560371516,0.031964130531362,0.920677813173455,0.01,88.32099646525313,2.541666666666667,4.259286250682003,0.545388377118498,NA,NA,1.8515130913e-5,1.052631578947369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01033,Colbert County,"Colbert County, Alabama",592.95316193154,57270,23.1,3.4,22.9,13.6,7.9,20,20.9,17.3,6.3,0.9,22.3,3.1,8.4,1.4,4.7,0.9,23.8,16,3.2,0.4,0.3,0.1,2.2,0.1
01035,NA,NA,0,17.318438974472244,3.33370972828e-4,1.627485452384286,0.495356037151703,0.157847986709277,0.141399128874103,0.01,100.83115122664881,0.458333333333333,1.975102121092034,0.602623097153924,NA,NA,7.07629274973e-4,0.185758513931889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01035,Conecuh County,"Conecuh County, Alabama",850.278991989168,11576,38.6,4.4,17.9,10.6,8.6,23.4,20.5,20.9,5.6,0,50.3,1.3,26,0.7,7,0.5,33,48,0.7,0.3,0.3,0,1,0.1
01037,NA,NA,0,44.91464074187408,5.19878144101e-4,3.638973497829312,0.371517027863778,0.065536747143161,0.374954801760886,0.01,83.90675052337524,0.125,1.425426603651379,0.576734338423212,NA,NA,2.17041377855e-4,0.68111455108359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01037,Coosa County,"Coosa County, Alabama",650.908884108226,10329,22.2,4.4,15.3,16.5,6.2,24.4,16.1,25.6,4.7,0,35.8,0.1,30,3.7,3.8,3.5,21.5,30.2,2.7,0,0.1,0,2.2,0.6
01039,NA,NA,0,24.917161882323832,3.03690142026e-4,1.472914984880267,0.557642214592698,0.183478505591765,0.123699771346812,0.010422994754797,97.61267499911446,0.625,2.02445789041225,0.902309117286021,NA,NA,3.44256540523e-4,0.185837060085953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01039,Covington County,"Covington County, Alabama",1030.57016104712,37542,30.1,5.5,20.9,14.2,10.3,21.7,21.9,20.8,7.2,0.1,17.5,1,20.4,1.6,6.4,1.9,21.7,12.3,2,0.6,0.3,0,2.2,0.2
01041,NA,NA,0,25.72728311194176,2.5686813636e-4,1.803039942235521,0.495356037151703,0.117809432290494,0.247382180763145,0.01,81.45670566271207,0.583333333333333,1.70371229136598,0.494417404337912,NA,NA,2.8548757241e-5,0.185758513931889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01041,Crenshaw County,"Crenshaw County, Alabama",608.864615699826,13205,28.4,6.1,20.7,17.9,8.5,19.8,22.9,16.9,5.3,0.5,30.1,0.4,26.2,1.1,7.3,1.9,34.6,22.9,2.5,1.2,0.1,0,3.4,0
01043,NA,NA,0.123839009287926,26.808638200221676,8.88182159287e-4,5.101635541270954,0.619195046439629,0.03574008157637,0.565388455482517,0.018169347315492,85.51327184327667,1.791666666666667,4.934110445767915,0.83155874511838,NA,NA,2.5247177357e-5,1.052631578947367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01043,Cullman County,"Cullman County, Alabama",734.738952277064,88284,23.3,4.3,18.6,15.4,10.6,18.8,22.3,18.2,5.8,0.8,9.2,2.7,20.1,1.9,2.9,1.4,15.3,1.1,4.6,0.3,0.3,0,2.8,0.1
01045,NA,NA,0,35.71381931132913,1.58850266912e-4,1.492743292852477,0.123839009287926,0.158026703844886,0.192435031508745,0.01,80.93190218620111,0.541666666666667,1.639247109328571,0.476191336069546,NA,NA,1.3149872334e-5,0.247678018575851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01045,Dale County,"Dale County, Alabama",561.112833472728,49455,29.6,7.8,23.3,14.3,10,17.5,23.1,20.8,7.5,0.9,32.7,1.7,18,0.7,5.2,1.8,17.2,20.4,7,1.2,0.4,0,3.2,0.4
01047,NA,NA,0,23.768140975020856,5.56249088785e-4,2.229709680981694,0.371517027863777,0.085720322636006,0.317076180973422,0.01,79.40703607066676,0.583333333333333,1.367447351109001,0.752383604812453,NA,NA,3.3613050998e-5,0.371517027863777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01047,Dallas County,"Dallas County, Alabama",978.737528171404,38326,40.8,9.1,28.4,14.7,9.5,19.4,23.6,19.8,8.7,0.2,73,1.7,17.4,1.4,14.6,1.5,23.9,68.7,1.1,0.6,0.5,0,2,0
01049,NA,NA,0.123839009287925,29.83346951604672,0.001182176617297,5.18892449348118,0.061919504643963,0.02844955816961,0.690980152776483,0.01,68.29051937036297,1.666666666666667,4.248056722061842,0.704006988311662,NA,NA,9.5432368021e-5,1.362229102167184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01049,DeKalb County,"DeKalb County, Alabama",777.076708398724,71680,33.6,3.9,20.6,22.3,14.6,17.3,23.9,15.4,5.5,4.7,20.9,1.1,22.8,3.4,4.2,1.5,17.1,1.5,15.4,0.1,0.5,0,2.9,0.5
01051,NA,NA,0,44.73804793427868,4.20605193954e-4,2.796053187833898,0.371517027863777,0.079920333347525,0.422131275761215,0.01,75.43902531777448,1.625,1.197083685763294,0.501076380355353,NA,NA,5.3192235513e-5,0.43343653250774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01051,Elmore County,"Elmore County, Alabama",618.515697740022,87694,18.7,4.2,18.5,11.5,8.2,15.8,21.7,15.2,6.9,0.7,27.6,3.2,16.3,1.3,4.3,4.9,11.7,20.8,3.1,0.7,0.2,0,2.7,0
01053,NA,NA,0,16.40669351628055,2.84495232726e-4,1.604483620143907,0.567742451358715,0.197773037547708,0.097261059532129,0.01,118.78752269331588,1.125,2.040115776215436,0.666731017560252,NA,NA,0.001833312644866,0.188229558722926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01053,Escambia County,"Escambia County, Alabama",945.407490010728,36755,38.3,9.2,22.4,17.7,12.3,18.6,22.7,20.3,6.3,0.4,39.8,0.7,20.4,0.5,6.1,6.9,28.6,30.2,2.6,0.2,3,0,3.6,0.2
01055,NA,NA,0,28.78269928757275,9.47290831499e-4,5.218081666718422,0.309597523219813,0.035436403900382,0.43482798678995,0.014815422390819,85.40065402108587,0.916666666666667,3.772626377318384,0.517799934309813,NA,NA,2.5720561501e-5,0.928792569659441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01055,Etowah County,"Etowah County, Alabama",535.105234413928,103348,27.2,6,22.1,13.9,11.7,19.4,21.4,17.4,6.9,0.9,22.9,3.1,10.7,1.7,4.2,1.5,16.4,15,4.4,0.7,0.1,0,2.3,0.4
01057,NA,NA,0,22.43997008221102,9.66503228349e-4,4.335588058439143,0.371517027863777,0.049696600280158,0.601393844425745,0.01,89.58512863730117,0.416666666666667,2.771161638207641,0.662688858098252,NA,NA,5.4236414696e-5,0.743034055727554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01057,Fayette County,"Fayette County, Alabama",627.683416369806,16297,34.5,9.6,19.7,16.3,10.1,21.2,21.1,23.5,4.8,0.1,16.1,2.6,18.9,1.1,10.7,2,26.6,12.7,0.4,0.2,0.1,0.2,2.3,0.2
01059,NA,NA,0.123839009287926,14.742808637297452,0.00120446861394,4.489099666601952,0.804953560371518,0.03190536508865,0.885142623103922,0.01,81.79031863801782,1.041666666666667,4.205791416536512,0.650389278028647,NA,NA,6.3656313961e-5,0.928792569659443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01059,Franklin County,"Franklin County, Alabama",633.95862676996,32011,33.3,3.8,16.6,19.9,12.5,17.1,24.7,17,6.9,4.2,24.8,2.2,15.5,1.6,9.2,0.9,37.8,4.2,18.4,0.1,0.2,0,1.5,0.2
01061,NA,NA,0,31.422615336815493,3.05657465352e-4,1.339581298433856,0.123842682082391,0.18283412481714,0.130298476484709,0.01,89.03603721799227,0.916666666666667,1.731513413188858,0.487287937030036,NA,NA,5.8492315273e-5,0.247680467105495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01061,Geneva County,"Geneva County, Alabama",574.484421412064,26647,32,3.9,18.9,16.6,12.1,20.3,21.9,23.9,4,0.6,19.2,0.4,25.5,1.6,6.8,1,25.4,8.9,4.4,0.5,0.2,0,3.1,1.9
01063,NA,NA,0,20.466579184149527,0.001005867474448,3.103924774767624,0.371517027863777,0.076464516536345,0.500199031741041,0.01,90.09584359254742,0.5,1.6888601865661521,0.555260158185965,NA,NA,4.482573799e-5,0.681114551083592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01063,Greene County,"Greene County, Alabama",647.022802613508,7706,50,4.5,25.1,18.1,13.9,23.7,22,28.2,6.7,0,82.9,3.5,34.2,0.3,13.2,1.7,43.7,81.8,0.3,0,0.1,0,0.6,0
01065,NA,NA,0,21.77537865588729,8.988848729e-4,2.953487732171189,0.371517027863777,0.076925292706444,0.400870979042762,0.01,86.86424836035096,0.666666666666667,1.513273593018199,0.553486307087914,NA,NA,9.2331234427e-5,0.681114551083591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01065,Hale County,"Hale County, Alabama",643.989821982034,14742,35.9,7.6,28.6,19.4,7,19.7,23.4,25,3.3,0.2,61.6,0.9,38.2,2.6,11.5,1.5,29.4,56.8,0.2,0.1,0.3,0,4.3,0
01067,NA,NA,0,43.19245652153008,2.0056314856e-4,1.499469165814414,0.123839009287926,0.153365243964649,0.218823165215813,0.01,82.57549979619068,0.291666666666667,1.540212468254747,0.464721213995402,NA,NA,1.8078806769e-5,0.247678018575851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01067,Henry County,"Henry County, Alabama",561.891686921372,17282,25.9,5.3,18.3,18.5,9.6,22.9,20.4,20.6,4.9,0.3,30.5,0.8,25.2,1.1,7.6,1.7,20.8,25.1,2.7,0.6,0.3,0,1.7,0
01069,NA,NA,0,34.32044177255926,3.1158414641e-4,1.296649061094238,0.185758513931888,0.203632645637011,0.112169775753726,0.01,87.44453325866401,0.875,1.632934987845295,0.471932986224088,NA,NA,1.4053634598e-5,0.247678018575852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01069,Houston County,"Houston County, Alabama",579.82568041797,107040,27.8,5,24,12.4,11.7,18.2,22.9,16.8,8.1,0.5,35.1,4.1,12.5,1.3,6.2,1.1,17.1,27.1,3.6,0.9,0.2,0,2.9,0.4
01071,NA,NA,0.247678018575852,32.03490269340999,0.001148044923979,4.927029635219804,0.061919504643963,0.023046841954162,0.756275979855496,0.024112328404038,71.47454277774969,1.375,5.26258080932949,1.008951162353786,NA,NA,6.2179482746e-5,1.238390092879258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01071,Jackson County,"Jackson County, Alabama",1078.014022295994,52618,31,6,21.9,18,11,20.6,20.6,21.7,6.3,0.7,11.2,1.1,21.5,2.2,4.6,1.3,16.6,3.2,3.2,0.4,0.8,0,3.5,0.1
01073,NA,NA,0,28.01923925407421,9.07207377232e-4,4.333234689380802,0.371517027863774,0.04835165954087,0.471960945439966,0.010275683194421001,110.4922017259678,3.958333333333333,2.645981816691243,1.120098727406215,NA,NA,1.2707777425e-5,1.052631578947374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01073,Jefferson County,"Jefferson County, Alabama",1111.539823051016,672265,24.6,5.4,28.3,8.9,9,16.3,22.7,14.9,7.4,1,51.1,13.9,2.9,1.3,6.9,2.8,12.9,42.6,4.2,1.7,0.1,0,2,0.4
01075,NA,NA,0,16.861975847526406,9.74789887022e-4,4.001293423287327,0.371517027863777,0.057168521976213,0.896751284251386,0.01,93.99705336408373,2,2.449001828283218,0.567483081183846,NA,NA,1.6777861703e-5,0.866873065015477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01075,Lamar County,"Lamar County, Alabama",604.846030948544,13885,26.7,5,17.3,17.9,7.8,22.1,21.8,22.4,4.1,0.1,14.3,2.5,20.3,1,5.7,1.2,29.4,11,0.5,0.2,0.4,0,2,0.3
01077,NA,NA,0.123839009287926,14.76248285299614,0.001477396787039,4.372279622940531,0.804953560371517,0.030431967131852,0.926534749028068,0.01,91.85293930455514,3.333333333333333,4.882125548167993,0.609276083629314,NA,NA,1.6103368992e-5,1.052631578947369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01077,Lauderdale County,"Lauderdale County, Alabama",668.0145490459,94329,24.4,3.6,20.8,11.2,9.5,20.1,19.4,15.3,5.7,0.9,16.6,7.1,8.6,0.9,6.1,2.7,19.4,9.7,3,0.6,0.2,0.1,2.8,0.1
01079,NA,NA,0.123839009287926,20.308873093852156,0.001364832622464,4.803928948279279,0.743034055727555,0.03371438755051,0.813942676100599,0.01,78.87926409570728,1.625,5.52322547258047,0.755763781481839,NA,NA,1.4997280192e-5,0.990712074303406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01079,Lawrence County,"Lawrence County, Alabama",690.6841225688,33116,27.2,3,16.9,17.3,9.1,18.6,21.7,21.4,3.3,0.6,23.7,1,26.8,1,5.1,0.8,29.8,10.2,2.5,0.3,5,0.1,5.6,0
